Quantity,Price Per Unit,Transaction Date,Total Spent,TotalSpent_Bin,Item_Cake,Item_Coffee,Item_Cookie,Item_Juice,Item_Salad,Item_Sandwich,Item_Smoothie,Item_Tea
-0.733290673432248,-0.7667545807564573,2023-09-08,4.0,Low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7150995446644675,0.03689332072636617,2023-05-16,12.0,High,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7150995446644675,-1.5704024822392808,2023-07-19,8.0,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.733290673432248,1.644189123692013,2023-04-27,10.0,Medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.733290673432248,-0.7667545807564573,2023-06-11,4.0,Low,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4392946537128253,0.8405412222091896,2023-03-31,20.0,High,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7150995446644675,0.8405412222091896,2023-10-28,16.0,High,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.4392946537128253,0.8405412222091896,2023-12-31,20.0,High,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.4392946537128253,1.644189123692013,2023-11-07,25.0,High,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.733290673432248,0.8405412222091896,2023-05-03,8.0,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.4392946537128253,-1.5704024822392808,2023-06-01,5.0,Low,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.009095564383890276,1.644189123692013,2023-11-15,15.0,High,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.4574857824806058,0.8405412222091896,2023-06-10,4.0,Low,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.733290673432248,0.03689332072636617,2023-02-24,6.0,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.4392946537128253,0.03689332072636617,2023-03-25,15.0,High,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7150995446644675,0.03689332072636617,2023-01-15,12.0,High,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.009095564383890276,0.8405412222091896,2023-04-04,20.0,High,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7150995446644675,0.8405412222091896,2023-03-30,16.0,High,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.009095564383890276,0.8405412222091896,2023-12-01,12.0,High,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.733290673432248,0.8405412222091896,2023-09-18,8.0,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.4392946537128253,0.8405412222091896,2023-06-03,20.0,High,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.009095564383890276,0.8405412222091896,2023-12-13,8.0,Medium,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
